"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1837253-<b>?</b>,"3 x 10-35",,NR,'-,'-,'-,TSLP,"Asthma (childhood onset)","childhood onset asthma",'-,GCST009841,5:111066174
rs62375550-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,TSLP,"Asthma (childhood onset)","childhood onset asthma",'-,GCST009841,5:111051427
rs7807274-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,MKLN1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,7:131336340
rs9883878-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,'-,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,3:178137844
rs9297216-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,'-,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,8:34187743
rs35141484-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,KLHL5,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,4:39086721
rs16929097-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,'-,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,9:12521826
rs17036023-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,IGSF3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,1:116587089
rs12570188-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,HPSE2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,10:99095945
rs11000019-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,PSAP,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,10:71831773
rs6054973-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,MIR8062,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,20:7405311
rs2705520-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,ATG3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,3:112550440
rs17033506-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,ARPP21,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,3:35598334
rs7770848-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,SUPT3H,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,6:44801500
rs6721181-<b>?</b>,"6 x 10-7",,NR,'-,'-,'-,SLC8A1-AS1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,2:39888556
rs11141597-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,GAS1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,9:86912543
rs886448-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,"NPY, RNA5SP228","Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,7:24200546
rs7527074-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,XPR1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,1:180676305
rs17218161-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,'-,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,4:58347679
rs9823506-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,ABI3BP,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,3:100757869
rs2473967-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,SOCS5P5,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002088,6:113158133
rs6967330-<b>A</b>,"3 x 10-14",,0.19,1.26,'-,[1.18-1.33],CDHR3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002275,7:106018005
rs2305480-<b>G</b>,"6 x 10-23",,0.6,1.32,'-,[1.23-1.39],GSDMB,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002275,17:39905943
rs928413-<b>G</b>,"9 x 10-13",,0.28,1.24,'-,[1.17-1.32],"GTF3AP1, IL33","Asthma (childhood onset)","childhood onset asthma",'-,GCST002275,9:6213387
rs6871536-<b>C</b>,"8 x 10-7",,0.22,1.17,'-,[1.10-1.25],"TH2LCRR, RAD50","Asthma (childhood onset)","childhood onset asthma",'-,GCST002275,5:132634182
rs3894194-<b>A</b>,"3 x 10-21",,NR,1.59,'-,[1.44-1.76],GSDMA,"Asthma (childhood onset)","childhood onset asthma",'-,GCST002275,17:39965740
rs1295686-<b>T</b>,"2 x 10-6",,NR,1.31,'-,[1.17-1.48],"TH2LCRR, IL13","Asthma (childhood onset)","childhood onset asthma",'-,GCST002275,5:132660151
rs2378383-<b>?</b>,"7 x 10-7",,0.78,1.64,'-,[1.32-2.04],"LNCARSR, CHCHD2P9","Asthma (childhood onset)","childhood onset asthma",'-,GCST000468,9:79424447
rs4658627-<b>A</b>,"6 x 10-6",,0.2418,'-,"0.13 unit decrease",[NR],C1orf100,"Asthma (childhood onset)","childhood onset asthma",'-,GCST001502,1:244347874
rs9815663-<b>T</b>,"2 x 10-8",,0.1820,'-,"0.17 unit decrease",[NR],'-,"Asthma (childhood onset)","childhood onset asthma",'-,GCST001502,3:3573203
rs7927044-<b>A</b>,"7 x 10-9",,0.0134,'-,"0.16 unit decrease",[NR],DNAJB6P1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST001502,11:127891771
rs7328278-<b>C</b>,"3 x 10-6",,0.0285,'-,"0.13 unit increase",[NR],DCLK1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST001502,13:35777629
rs10521233-<b>G</b>,"3 x 10-6",,0.0735,'-,"0.14 unit decrease",[NR],"HS3ST3A1, COX10-AS1","Asthma (childhood onset)","childhood onset asthma",'-,GCST001502,17:13655763
rs9391997-<b>G</b>,"7 x 10-11",,0.527,1.102,'-,[1.070-1.135],IRF4,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,6:409119
rs1321859-<b>C</b>,"9 x 10-10",,0.649,1.102,'-,[1.068-1.136],"BACH2, MIR4464","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,6:90301954
rs4473914-<b>T</b>,"9 x 10-9",,0.604,1.092,'-,[1.060-1.125],ITGB8,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,7:20386640
rs34880821-<b>A</b>,"5 x 10-10",,0.283,1.106,'-,[1.071-1.141],"MTCYBP42, IL6","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,7:22735831
rs917115-<b>C</b>,"2 x 10-9",,0.208,1.112,'-,[1.074-1.152],JAZF1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,7:28132967
rs13277355-<b>A</b>,"2 x 10-10",,0.274,1.11,'-,[1.075-1.146],"PVT1, MYC","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,8:127765473
rs4739738-<b>G</b>,"3 x 10-13",,0.359,1.117,'-,[1.084-1.151],"RNU6-1213P, LINC00529","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,8:80379410
rs117137535-<b>A</b>,"4 x 10-9",,0.026,1.307,'-,[1.195-1.429],ARRDC1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,9:137605991
rs992969-<b>A</b>,"7 x 10-42",,0.252,1.248,'-,[1.209-1.289],"IL33, GTF3AP1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,9:6209697
rs1723018-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,CD247,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,1:167464183
rs7705042-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,NDFIP1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,5:142112854
rs6461503-<b>?</b>,"9 x 10-8",,NR,'-,'-,'-,EEF1A1P27,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,7:20521373
rs1623866-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,ARFRP1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,20:63701670
rs10208293-<b>G</b>,"4 x 10-38",,0.73,1.14,'-,'-,"IL1RL1, IL18R1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,2:102349850
rs9272346-<b>A</b>,"4 x 10-37",,0.59,1.13,'-,'-,HLA-DQA1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,6:32636595
rs928413-<b>G</b>,"2 x 10-40",,0.25,1.19,'-,'-,"GTF3AP1, IL33","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,9:6213387
rs9901146-<b>G</b>,"8 x 10-99",,0.51,1.18,'-,'-,"ZPBP2, GSDMB","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,17:39887090
rs2066844-<b>T</b>,"4 x 10-8",,0.048,1.194,'-,[1.121-1.272],NOD2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,16:50712015
rs4795399-<b>T</b>,"1 x 10-111",,0.529,1.406,'-,[1.365-1.448],GSDMB,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,17:39905186
rs8066625-<b>A</b>,"5 x 10-9",,0.1,1.151,'-,[1.098-1.206],STAT5B,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,17:42238611
rs56308324-<b>T</b>,"3 x 10-9",,0.132,1.132,'-,[1.086-1.180],TBX21,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,17:47741840
rs28406364-<b>T</b>,"1 x 10-11",,0.377,1.108,'-,[1.076-1.142],"ZNF652, PHB","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,17:49377145
rs4574025-<b>T</b>,"9 x 10-9",,0.535,1.09,'-,[1.058-1.122],TNFRSF11A,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,18:62342581
rs12964116-<b>G</b>,"3 x 10-16",,0.036,1.336,'-,[1.247-1.432],SERPINB7,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,18:63775385
rs4807630-<b>T</b>,"2 x 10-8",,0.308,1.093,'-,[1.060-1.128],SBNO2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,19:1170446
rs10414065-<b>C</b>,"6 x 10-9",,0.934,1.207,'-,[1.133-1.287],"SLC7A10, CEBPA","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,19:33230549
rs72823641-<b>T</b>,"3 x 10-46",,0.863,1.415,'-,[1.349-1.484],"IL1RL1, IL18R1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,2:102319699
rs10175070-<b>G</b>,"4 x 10-12",,0.251,1.122,'-,[1.086-1.160],CCL20,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,2:227805859
rs34290285-<b>G</b>,"2 x 10-20",,0.745,1.177,'-,[1.137-1.219],D2HGDH,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,2:241759225
rs13416555-<b>C</b>,"2 x 10-13",,0.705,1.13,'-,[1.094-1.167],LINC00299,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,2:8301605
rs12634152-<b>T</b>,"1 x 10-16",,0.547,1.133,'-,[1.100-1.166],LPP,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,3:188403231
rs35570272-<b>T</b>,"3 x 10-10",,0.396,1.1,'-,[1.068-1.133],GLB1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,3:33006170
rs2069763-<b>A</b>,"2 x 10-14",,0.334,1.126,'-,[1.092-1.160],IL2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,4:122456327
rs5743618-<b>C</b>,"3 x 10-32",,0.774,1.249,'-,[1.203-1.295],TLR1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,4:38797027
rs1837253-<b>C</b>,"2 x 10-27",,0.74,1.211,'-,[1.169-1.253],TSLP,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,5:111066174
rs17622378-<b>A</b>,"9 x 10-11",,0.573,1.103,'-,[1.071-1.136],"IRF1, IRF1-AS1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,5:132442760
rs2051809-<b>A</b>,"3 x 10-22",,0.247,1.175,'-,[1.137-1.214],KIF3A,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,5:132721182
rs16903574-<b>G</b>,"9 x 10-16",,0.077,1.236,'-,[1.174-1.302],OTULINL,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,5:14610200
rs10036789-<b>G</b>,"5 x 10-8",,0.46,1.085,'-,[1.054-1.117],"YBX1P5, PTCD2","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,5:72400091
rs1117490-<b>C</b>,"3 x 10-8",,0.234,1.1,'-,[1.063-1.137],TRIM26,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,6:30202733
rs2428494-<b>A</b>,"8 x 10-23",,0.477,1.157,'-,[1.124-1.191],HLA-B,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,6:31354420
rs28407950-<b>C</b>,"1 x 10-59",,0.756,1.354,'-,[1.306-1.405],"HLA-DQA1, HLA-DQB1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,6:32658571
rs59289606-<b>A</b>,"5 x 10-8",(EA),0.2,2.06,'-,NR,KIAA1958,"Self-reported childhood asthma in adult smokers","childhood onset asthma","smoking status measurement",GCST007508,9:112563085
rs439399-<b>C</b>,"4 x 10-7",(EA),0.22,1.52,'-,NR,PDZD2,"Self-reported childhood asthma in adult smokers","childhood onset asthma","smoking status measurement",GCST007508,5:31696629
rs7315121-<b>T</b>,"2 x 10-7",(AA),0.07,2.9,'-,NR,FLJ12825,"Self-reported childhood asthma in adult smokers","childhood onset asthma","smoking status measurement",GCST007508,12:54081158
rs56317450-<b>A</b>,"5 x 10-7",(AA),0.08,2.11,'-,NR,PHF14,"Self-reported childhood asthma in adult smokers","childhood onset asthma","smoking status measurement",GCST007508,7:11137720
rs4679858-<b>G</b>,"2 x 10-7",,NR,1.48,'-,NR,IQCJ-SCHIP1,"Self-reported childhood asthma in adult smokers","childhood onset asthma","smoking status measurement",GCST007508,3:159428036
rs61816761-<b>A</b>,"2 x 10-65",,0.024,1.97,'-,[1.823-2.129],"FLG, FLG-AS1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,1:152313385
rs7518129-<b>G</b>,"2 x 10-11",,0.31,1.111,'-,[1.077-1.146],TNFSF4,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,1:173194429
rs12023876-<b>G</b>,"1 x 10-9",,0.668,1.102,'-,[1.068-1.137],ADORA1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,1:203124073
rs943451-<b>T</b>,"8 x 10-14",,0.318,1.125,'-,[1.091-1.161],PRKCQ,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,10:6579811
rs7894791-<b>C</b>,"9 x 10-11",,0.587,1.103,'-,[1.071-1.137],"CHCHD3P1, KRT8P37","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,10:8549406
rs1775554-<b>A</b>,"3 x 10-13",,0.577,1.117,'-,[1.084-1.150],LINC02676,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,10:9012377
rs12365699-<b>G</b>,"2 x 10-13",,0.833,1.167,'-,[1.120-1.216],"CXCR5, Y_RNA","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,11:118872577
rs479844-<b>G</b>,"1 x 10-11",,0.555,1.106,'-,[1.074-1.139],"AP5B1, OVOL1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,11:65784486
rs61894547-<b>T</b>,"2 x 10-39",,0.052,1.463,'-,[1.382-1.548],EMSY,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,11:76537586
rs7936312-<b>T</b>,"5 x 10-33",,0.477,1.194,'-,[1.160-1.230],"LINC02757, EMSY","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,11:76582682
rs10774625-<b>G</b>,"2 x 10-8",,0.504,1.087,'-,[1.056-1.119],ATXN2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,12:111472415
rs1696361-<b>T</b>,"1 x 10-11",,0.359,1.109,'-,[1.076-1.142],"HNF1A-AS1, RPL12P33","Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,12:120926020
rs62623446-<b>T</b>,"1 x 10-10",,0.072,1.188,'-,[1.127-1.252],TESPA1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,12:54974507
rs705699-<b>A</b>,"1 x 10-11",,0.425,1.106,'-,[1.074-1.139],RAB5B,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,12:55991020
rs3122929-<b>T</b>,"7 x 10-17",,0.404,1.134,'-,[1.101-1.167],STAT6,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,12:57115319
rs11178648-<b>C</b>,"4 x 10-8",,0.592,1.087,'-,[1.055-1.120],TSPAN8,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,12:71139430
rs1887704-<b>G</b>,"5 x 10-13",,0.681,1.124,'-,[1.089-1.161],UBAC2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,13:99322238
rs1950897-<b>C</b>,"1 x 10-8",,0.287,1.096,'-,[1.062-1.131],RAD51B,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,14:68293424
rs11071559-<b>C</b>,"3 x 10-15",,0.872,1.205,'-,[1.151-1.262],RORA,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,15:60777789
rs56062135-<b>T</b>,"3 x 10-26",,0.237,1.194,'-,[1.156-1.234],SMAD3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,15:67163292
rs35032408-<b>T</b>,"5 x 10-14",,0.785,1.152,'-,[1.111-1.195],CLEC16A,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,16:11121567
rs3785356-<b>T</b>,"6 x 10-13",,0.297,1.122,'-,[1.087-1.157],IL4R,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007995,16:27337847
rs1102705-<b>G</b>,"1 x 10-7",,0.075,1.072,'-,[1.05-1.1],"FASLG, SLC25A38P1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,1:172731728
rs274943-<b>?</b>,"3 x 10-16",,NR,1.062,'-,[1.05-1.08],SUMO2P2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,9:23585841
rs17103286-<b>G</b>,"4 x 10-7",,0.521,1.038,'-,[1.02-1.05],"NFKBIA, DNAJC8P1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,14:35415835
rs943451-<b>?</b>,"4 x 10-15",,NR,1.063,'-,[1.05-1.08],PRKCQ,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,10:6579811
rs28522747-<b>A</b>,"1 x 10-7",,0.118,1.06,'-,[1.04-1.08],"SCUBE3, TCP11","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,6:35166952
rs2918302-<b>?</b>,"5 x 10-10",,NR,1.064,'-,[1.04-1.08],NFILZ,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,19:8675909
rs912425-<b>G</b>,"2 x 10-7",,0.237,1.045,'-,[1.03-1.06],LINC02341,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,13:42423188
rs17144046-<b>?</b>,"3 x 10-15",,NR,1.066,'-,[1.05-1.08],"CHCHD3P1, KRT8P37","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,10:8564051
rs7625643-<b>?</b>,"5 x 10-9",,NR,1.044,'-,[1.03-1.06],ZBTB38,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,3:141431184
rs6954667-<b>?</b>,"3 x 10-8",,NR,1.045,'-,[1.03-1.06],"IL6, MTCYBP42","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,7:22740703
rs1716183-<b>?</b>,"4 x 10-11",,NR,1.067,'-,[1.05-1.09],PITPNM2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,12:123150549
rs10995245-<b>?</b>,"4 x 10-10",,NR,1.048,'-,[1.03-1.06],'-,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,10:62631615
rs2450083-<b>?</b>,"8 x 10-11",,NR,1.049,'-,[1.04-1.06],COLEC10,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,8:119051303
rs71421264-<b>?</b>,"3 x 10-11",,NR,1.05,'-,[1.04-1.06],TRAF3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,14:102777733
rs7626218-<b>?</b>,"4 x 10-11",,NR,1.051,'-,[1.04-1.06],TBL1XR1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,3:177134250
rs9895436-<b>?</b>,"6 x 10-20",,NR,1.07,'-,[1.06-1.08],"ARHGAP27, RNA5SP443","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,17:45380520
rs1806656-<b>?</b>,"1 x 10-10",,NR,1.053,'-,[1.04-1.07],ILDR1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,3:121997324
rs55743914-<b>?</b>,"2 x 10-15",,NR,1.071,'-,[1.05-1.09],PTPRK,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,6:127972417
rs1893380-<b>?</b>,"4 x 10-13",,NR,1.055,'-,[1.04-1.07],"SMAD4, SRSF10P1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,18:51121270
rs188074962-<b>?</b>,"2 x 10-20",,NR,1.073,'-,[1.06-1.09],"RPL12P33, HNF1A-AS1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,12:120927628
rs12023876-<b>?</b>,"5 x 10-21",,NR,1.074,'-,[1.06-1.09],ADORA1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,1:203124073
rs1617333-<b>?</b>,"3 x 10-22",,NR,1.075,'-,[1.06-1.09],CD247,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,1:167467033
rs10836538-<b>?</b>,"3 x 10-13",,NR,1.057,'-,[1.04-1.07],PRR5L,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,11:36343703
rs1887704-<b>?</b>,"5 x 10-20",,NR,1.075,'-,[1.06-1.09],UBAC2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,13:99322238
rs4574025-<b>?</b>,"8 x 10-14",,NR,1.058,'-,[1.04-1.07],TNFRSF11A,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,18:62342581
rs12965763-<b>?</b>,"4 x 10-11",,NR,1.059,'-,[1.04-1.08],POLI,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,18:54290038
rs117683492-<b>A</b>,"2 x 10-6",,0.018,1.15,'-,[1.09-1.21],SMAD3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,15:67121286
rs140522418-<b>?</b>,"4 x 10-10",,NR,1.062,'-,[1.04-1.08],LINC02098,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,11:128302942
rs2766667-<b>T</b>,"1 x 10-7",,0.254,1.046,'-,[1.03-1.06],"ZNF217, Y_RNA","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,20:53555865
rs149317277-<b>?</b>,"8 x 10-17",,NR,1.064,'-,[1.05-1.08],ITGB8,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,7:20384301
rs5758364-<b>A</b>,"3 x 10-6",,0.217,1.043,'-,[1.03-1.06],"PHF5A, ACO2","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,22:41459908
rs9893132-<b>?</b>,"3 x 10-17",,NR,1.065,'-,[1.05-1.08],"CCR7, SMARCE1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,17:40598769
rs5953283-<b>?</b>,"6 x 10-10",,NR,1.038,'-,[1.03-1.05],PPP1R3F,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,X:49283326
rs11065979-<b>?</b>,"5 x 10-18",,NR,1.066,'-,[1.05-1.08],"BRAP, ATXN2-AS","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,12:111621753
rs6927172-<b>?</b>,"3 x 10-13",,NR,1.067,'-,[1.05-1.08],LINC02539,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,6:137681038
rs850637-<b>?</b>,"8 x 10-14",,NR,1.046,'-,[1.03-1.06],"TMSB4X, FAM9C","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,X:13005622
rs1655558-<b>?</b>,"2 x 10-18",,NR,1.068,'-,[1.05-1.08],ITPKA,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,15:41495387
rs67551275-<b>?</b>,"4 x 10-18",,NR,1.069,'-,[1.05-1.08],SPSB1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,1:9296617
rs113092121-<b>?</b>,"3 x 10-20",,NR,1.07,'-,[1.06-1.08],KIF11,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,10:92624757
rs9391997-<b>?</b>,"4 x 10-12",,NR,1.052,'-,[1.04-1.07],IRF4,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,6:409119
rs143326447-<b>?</b>,"2 x 10-9",,NR,1.071,'-,[1.05-1.09],"MIR4435-2HG, SOCAR","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,2:111511155
rs6755248-<b>?</b>,"3 x 10-13",,NR,1.055,'-,[1.04-1.07],AP1S3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,2:223799333
rs12531500-<b>?</b>,"7 x 10-22",,NR,1.073,'-,[1.06-1.09],"ITGB8, EEF1A1P27","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,7:20504586
rs2052690-<b>?</b>,"1 x 10-11",,NR,1.056,'-,[1.04-1.07],IRAG1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,11:10642486
rs35570272-<b>?</b>,"4 x 10-14",,NR,1.057,'-,[1.04-1.07],GLB1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,3:33006170
rs11412402-<b>?</b>,"4 x 10-14",,NR,1.057,'-,[1.04-1.07],EEFSEC,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,3:128194004
rs479844-<b>?</b>,"3 x 10-23",,NR,1.075,'-,[1.06-1.09],"AP5B1, OVOL1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,11:65784486
rs892225-<b>?</b>,"1 x 10-12",,NR,1.057,'-,[1.04-1.07],SBNO2,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,19:1152657
rs449454-<b>?</b>,"2 x 10-22",,NR,1.076,'-,[1.06-1.09],NDFIP1,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,5:142153497
rs34445740-<b>?</b>,"8 x 10-20",,NR,1.076,'-,[1.06-1.09],SMAD3,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,15:67183427
rs3749833-<b>?</b>,"1 x 10-19",,NR,1.077,'-,[1.06-1.09],"IRF1, IRF1-AS1","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,5:132463934
rs705700-<b>?</b>,"3 x 10-24",,NR,1.078,'-,[1.06-1.09],RAB5B,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,12:55995509
rs12952581-<b>?</b>,"4 x 10-24",,NR,1.078,'-,[1.06-1.09],"PHB, ZNF652","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,17:49370984
rs10187276-<b>?</b>,"2 x 10-19",,NR,1.079,'-,[1.06-1.1],"SNRPGP8, CCL20","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,2:227805721
rs13277355-<b>?</b>,"1 x 10-23",,NR,1.084,'-,[1.07-1.1],"PVT1, MYC","Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,8:127765473
rs1885013-<b>?</b>,"3 x 10-25",,NR,1.085,'-,[1.07-1.1],RAD51B,"Asthma (childhood onset)","childhood onset asthma",'-,GCST007800,14:68287978
